0.134,0.072,0.738,0.792,1.079,0.16,0.255,16.188,40.438,33.5,92,34,14,8,5,21,13,33,6.708,2.513,48.367,52.567,70.903,4.353,7.5334,492.87,1115.2,652.21,568.7,274.17,153.44,115,118,109,131.86,270.64,0.0004587,0.00085569,0.0025755,0.0018736,0.001508,0.0032907,0.018468,24.497,121.84,220.59,302.96,71.498,12.787,2.9772,2.5709,7.3246,14.213,80.391,0.095563,0.045409,0.67365,0.73136,0.98552,0.083068,0.13907,8.4272,18.976,14.749,17.351,8.4741,3.6475,1.887,1.7858,2.796,3.8555,8.9808,2.369,0.2,21.748,20.516,29.515,3.288,3.245,251.75,325.94,328.5,277,274,99,35,37,45,64,193
0.35,0.222,0.642,0.741,1.136,0.119,0.301,20.812,50.5,26,47,43,12,7,26,7,13,47,20.273,14.306,39.92,47.626,66.116,3.289,9.602,333.46,707.57,338.52,641.1,220.16,137,94,112,105,119.39,235.87,0.00044358,5.1526e-05,0.0014075,0.00053929,0.0028161,0.0014724,0.010528,93.394,209.13,98.924,248.73,85.157,13.453,4.2626,9.3803,5.2636,13.274,79.583,0.3033,0.21364,0.59698,0.71121,0.98821,0.06213,0.17581,9.8658,17.82,10.12,15.738,9.2309,3.7869,2.1669,3.1577,2.4092,3.7105,8.9163,8.549,6.379,19.003,20.611,30.189,2.061,1.458,217.88,349.87,148.87,325,172,101,37,33,42,51,140
0.423,0.309,0.604,0.709,1.078,0.136,0.313,25.25,42.312,35.875,51,48,11,21,10,24,16,34,22.147,16.469,30.663,37.749,54.816,1.7502,9.754,239.06,712,418.92,381.42,215.6,92,110,91,103,95.621,302.69,0.00019167,6.2301e-05,0.001857,0.00081699,0.0016681,0.0025759,0.0096923,49.417,152.75,243.54,229.75,87.202,13.214,13.007,4.1315,14.41,13.624,145.67,0.39572,0.29419,0.54922,0.67468,0.97969,0.054437,0.19964,8.1706,17.654,15.603,15.119,9.3311,3.7066,3.716,2.173,3.8842,3.737,12.026,11.658,8.767,17.537,19.47,29.717,1.777,2.735,243.06,331.25,465.44,262,219,99,104,68,70,110,345
0.472,0.294,0.578,0.669,1.087,0.233,0.288,25.75,35.625,48.188,63,48,14,8,24,10,18,70,15.383,9.734,18.44,21.982,32.819,3.976,6.483,259.71,398.69,313.62,418.37,235.99,75.412,65,115.05,60.852,112.47,367.57,8.286e-05,1.1244e-05,0.0004706,0.00051686,0.004407,0.0037662,0.0034373,155.05,238.69,285.68,468.42,155.08,15.853,5.2267,33.657,9.6151,42.333,450.97,0.45253,0.28631,0.54277,0.64692,0.96748,0.13165,0.19923,12.297,19.214,19.036,21.508,12.413,4.0479,2.4524,5.8297,3.151,6.4862,21.085,13.605,8.583,16.346,19.313,28.691,3.75,5.7,346.69,508.5,425.38,410,243,97,51,110,47,140,460
0.48,0.416,0.626,0.567,1.086,0.168,0.185,25.125,34.875,17.938,38,53,10,8,20,12,14,30,19.048,17.056,25.208,23.587,42.785,2.727,2.582,455.56,446.46,197.55,276.92,212.78,89,72,85,79.14,117.01,237.3,0.00044326,9.0137e-05,0.001075,0.00014473,0.0012094,0.002073,0.0045946,71.16,220.45,77.676,177.01,89.005,8.1551,4.2781,11.529,9.7221,28.002,114.11,0.44347,0.39676,0.58713,0.54866,0.99559,0.07776,0.089963,13.481,17.975,9.2579,13.246,9.4503,3.0037,2.2039,3.5035,3.1796,5.3184,10.641,12.969,11.75,18.111,16.274,29.831,2.199,2.733,319.81,482.25,238.06,254,150,54,37,47,68,84,252
0.715,0.475,0.362,0.439,1.048,0.162,0.371,12.438,48.75,24.938,29,65,22,6,33,28,9,50,29.141,19.445,14.786,17.812,39.857,3.745,11.297,84.794,400.31,223.38,263.94,279.72,92.709,67,88,90.381,88.835,336.12,6.5313e-05,0.0001511,8.2095e-05,4.6088e-05,0.0026048,0.00081634,0.0021741,22.38,408.02,114.59,142.56,212,24.334,4.2212,26.486,23.532,14.56,233.75,0.69388,0.46314,0.35216,0.42415,0.95031,0.093529,0.27289,4.8129,21.252,10.653,11.905,14.507,4.9895,2.1861,5.167,4.8871,3.8775,15.227,20.827,13.89,10.475,12.774,28.466,2.653,8.162,130.81,540.5,265.38,306,142,80,38,31,47,78,241
0.755,0.554,0.349,0.301,1.061,0.245,0.277,39.75,43.5,28.062,65,46,16,19,6,17,18,51,30.837,22.532,12.796,11.821,40.758,5.397,8.226,446.81,415.13,300.93,339.45,213.72,80.3,76.653,63,93.732,89.779,255.38,0.00019168,9.5573e-05,0.00047476,0.00021591,0.002911,0.0017585,0.003195,276.48,388.81,199.72,328.78,141.42,18.365,14.687,3.1023,17.73,22.873,216.25,0.73434,0.53656,0.30543,0.28183,0.97189,0.13501,0.20366,18.591,20.384,13.964,18.091,11.825,4.3117,3.9022,1.892,4.2533,4.8159,14.659,21.811,16.2,9.445,8.483,29.358,3.738,5.251,565.44,572.82,315.75,348,243,116,103,52,149,132,283
0.723,0.475,0.373,0.388,1.018,0.233,0.273,18.312,18.938,21.375,39,44,13,18,11,15,18,53,22.807,15.079,11.837,11.666,30.483,5.51,7.297,225.69,120.37,142,306.6,189.61,70.391,83.114,48.785,68,97.93,253.4,2.8209e-05,3.3377e-06,6.0877e-06,0.00011871,0.00088767,0.00062016,0.00046332,15.326,52.978,61.457,202.83,132.14,18.038,18.429,7.4613,14.015,26.256,200.25,0.71274,0.47122,0.36991,0.36472,0.95305,0.17392,0.22901,8.0366,7.198,8.901,14.135,11.409,4.2197,4.2812,2.7698,3.8517,5.1918,14.045,21.402,14.142,11.097,10.891,28.568,5.21,6.824,210.62,181.94,200.87,306,275,99,87,35,85,102,244
0.74,0.631,0.343,0.243,1.08,0.238,0.187,23.562,33.062,28,38,27,14,6,5,20,14,40,34.58,29.771,13.623,11.247,48.271,4.604,3.3831,482.81,618.57,319.89,276.45,203.41,99,82,83,112.58,94.607,377.27,0.00072812,0.00021538,0.0016604,7.8713e-05,0.0019958,0.0027026,0.008288,41.738,156.65,126.69,206.6,68.949,15.788,2.9976,2.8698,16.583,18.977,182.44,0.70622,0.60775,0.28093,0.2297,0.98611,0.10713,0.10529,11.746,17.686,11.732,14.353,8.2837,4.0755,1.9079,1.8788,4.117,4.4113,13.461,20.641,18.533,9.116,6.774,29.589,3.523,1.791,366,526.06,357.19,298,255,115,33,51,112,102,286
0.825,0.623,0.087,0.047,1.103,0.12,0.338,9.938,32.312,28.25,71,61,18,10,7,21,11,56,43.548,31.668,3.183,1.861,51.815,2.706,13.651,138,520.19,381.74,502.78,245.91,100.08,82,87,98,98,401.39,0.00024648,0.00043301,0.00012488,0.00012527,0.001907,0.0011016,0.0039727,24.874,88.98,134.08,276.23,120.67,15.39,4.8153,2.1852,9.2724,10.135,287.94,0.80659,0.58681,0.059975,0.036203,0.96051,0.059936,0.26039,4.9459,13.421,11.986,16.548,10.95,4.0034,2.3081,1.6706,3.1594,3.2919,16.921,23.834,18.073,1.973,0.911,29.129,2.01,6.225,116.06,450.44,347.81,374,144,80,65,54,77,71,350
